"Name","Price","genres","features","developer","publisher","platform","Release date","note critique","moyenne avis","Classification OpenCritique"
"20XX","14,99 €","","Rogue-lite Jeux de plateforme Coopération","Batterystaple","Batterystaple","Windows","30/07/20","68 ","80","Très bien"
"3 out of 10, EP 1 : « Welcome To Shovelworks »","Gratuit","","Action Solo","Terrible Posture Games, Inc.","Terrible Posture Games, Inc.","Windows","06/08/20","","",""
"3 out of 10, EP 2 : « Foundation 101 »","Gratuit","","Exploration Comédie Aventure Solo","Terrible Posture Games, Inc.","Terrible Posture Games, Inc.","Windows","13/08/20","","",""
"3 out of 10, EP 3 : « Pivot Like A Champion »","Gratuit","","Exploration Comédie Aventure","Terrible Posture Games, Inc.","Terrible Posture Games, Inc.","Windows","20/08/20","","",""
"3 out of 10, EP 4 : « Thank You For Being An Asset »","Gratuit","","Exploration Comédie Aventure Compatibilité manette","Terrible Posture Games, Inc.","Terrible Posture Games, Inc.","Windows","27/08/20","","",""
"3 out of 10, EP 5 : « The Rig Is Up! »","Gratuit","","Exploration Comédie Aventure Compatibilité manette","Terrible Posture Games, Inc.","Terrible Posture Games, Inc.","Windows","03/09/20","","",""
"3 out of 10: Season Two","Gratuit","","Comédie Aventure Solo Compatibilité manette","Terrible Posture Games, Inc.","Terrible Posture Games, Inc.","Windows","08/04/21","","",""
"7 Billion Humans","11,99 €","","","","","Windows Mac OS Mac OS","","","",""
"8Doors: Arum's Afterlife Adventure","15,99 €","","Action Aventure Solo","Rootless Studio","NEOWIZ","Windows","19/08/21","","",""
"9 Years of Shadows Disponible le T4, 2022","","","Action Aventure Indépendant Solo","Halberd Studios","Freedom Games","Windows","T4, 2022","","",""
"A Good Snowman is Hard to Build","7,99 €","","","","","Windows Mac OS","","","",""
"A Juggler's Tale","14,99 €","","Casse-tête Aventure Jeux de plateforme Solo Compatibilité manette","kaleidoscube","Mixtvision","Windows","27/08/20","","",""
"A Knights Quest","24,99 €","","Action Aventure Jeux de plateforme Solo","Sky 9 Games","Curve Digital","Windows","09/10/19","36 ","63","Mauvais"
"A Monster's Expedition","15,99 €","","Casse-tête Aventure Indépendant Compatibilité manette","Draknek & Friends","Draknek & Friends","Windows Mac OS","27/04/21","","",""
"A Musical Story","11,99 €","","Musique Solo","Glee-Cheese Studio","Digerati","Windows Mac OS","04/03/22","","",""
"A Plague Tale: Innocence","39,99 €","","Action Aventure Solo","Asobo Studio","Focus Entertainment","Windows","14/05/19","82 ","82","Très bien"
"A Plague Tale: Requiem Bientôt","","","Action Aventure Solo","Asobo Studio","Focus Entertainment","Windows","Bientôt","","",""
"A Short Hike","6,59 €","","Casual Indépendant Jeux de plateforme","Adam Robinson-Yu","Adam Robinson-Yu","Windows Mac OS","04/03/20","100"," 8"," Super"
"A Tale of Paper: Refolded Disponible le juin 2022","","","Aventure Casse-tête Jeux de plateforme Compatibilité manette Solo","Open House Games","Digerati","Windows","juin 2022","","",""
"A Total War Saga: TROY","49,99 €","","Stratégie Multijoueur Solo","CREATIVE ASSEMBLY","SEGA","Windows Mac OS Mac OS","13/08/20","68 ","76","Très bien"
